%,Area,Mean,Min,Max,Angle,Length
1,51.565,3.558,0,57.889,-57.529,51.414
2,24.828,6.901,0,85.333,33.69,24.845
3,52.52,5.269,0,76.889,-56.611,52.398
4,23.873,5.52,0,51,36.384,23.403
5,44.881,3.454,0,50.667,-67.286,45.252
6,50.61,6.274,0,94.778,30.018,50.341
7,44.881,0.261,0,11.222,-73.54,45.023
8,23.873,9.336,0,137.222,19.983,23.182
9,28.647,23.655,4.852,152.556,43.603,28.792
10,25.782,25.137,3.083,84,-45,25.801
11,55.385,12.071,0.964,131,-81.027,56.068
12,27.692,17.64,1.98,148.333,12.529,26.959
13,56.34,19.245,1.324,188,33.69,56.287
14,27.692,57.755,9.298,229.667,-56.31,27.464
15,48.7,13.814,0,183.667,-94.574,48.666
16,27.692,10.631,0,135,-2.045,27.392
17,50.61,6.942,0,114.222,-95.599,50.369
18,21.963,8.991,0,66.667,177.397,21.56
19,48.7,6.222,0,87.444,-64.983,48.686
20,27.692,10.925,0,96,33.69,27.832
21,45.836,8.194,0,168.667,28.217,45.623
22,25.782,17.237,0,131.222,-59.421,25.534
23,51.565,5.394,0,76.556,-86.76,52.219
24,28.647,13.438,0,51.111,5.906,28.458
25,44.881,9.173,0,98.778,-88.755,44.636
26,21.963,20.632,0,99,-174.806,21.979
27,50.61,9.715,0,127.333,-66.371,50.769
28,27.692,11.036,0,94,27.474,27.557
29,58.249,1.396,0,54.667,-12.426,58.968
30,24.828,11.73,0,127.222,71.565,24.721
31,45.836,11.611,0,97.667,-8.471,45.79
32,25.782,18.775,5.556,53,-107.745,25.459
33,32.467,8.482,0,102.222,-26.565,32.339
34,21.008,10.181,0,87,-119.055,20.407
35,46.79,19.73,0,223.222,50.964,47.006
36,19.098,26.796,0.947,100.667,-40.914,18.937
37,50.61,8.586,0,113.667,15.642,50.828
38,21.008,15.019,0,74.667,-70.71,20.91
39,42.971,20.07,10.264,96.333,-105.945,43.18
40,21.963,42.231,14.03,145,-18.435,21.122
41,51.565,10.036,0,130.889,-138.094,51.479
42,25.782,2.008,0,27.444,-46.548,25.813
43,49.655,13.063,0,230.667,38.66,49.803
44,25.782,16.386,0,91.667,-52.696,25.409
45,51.565,10.581,0,145.333,-81.254,52.056
46,21.963,6.476,0,46,7.765,21.697
47,47.745,9.262,0,146.333,-35.942,48.143
48,27.692,31.56,0,255,-129.289,27.369
49,56.34,7.454,0,141.778,-69.677,56.501
50,26.737,11.308,0,122.111,23.749,26.561
51,48.7,4.343,0,67.333,-66.038,48.46
52,22.918,7.336,0,46,24.228,22.159
53,51.565,6.187,0,115.222,-90,51.466
54,21.008,9.7,0,76.556,0,20.198
55,57.294,6.31,0,142.333,1.941,57.688
56,28.647,20.905,0,196.333,-88.091,28.681
57,56.34,1.332,0,40.111,-116.131,57.103
58,21.963,1.463,0,19.444,-27.759,21.135
59,48.7,11.688,0,157,-108.8,48.423
60,23.873,15.992,0,108.667,-19.179,23.074
61,51.565,8.226,0,127.667,-99.819,52.005
62,22.918,15.848,0,146,-12.265,22.682
63,56.34,9.169,0,141.111,-40.815,57.025
64,27.692,12.262,0,121.333,50.711,27.572
65,52.52,11.972,0,216.333,-122.8,52.491
66,26.737,9.832,0,75.111,-37.304,26.058
67,51.565,7.103,0,88.333,-71.222,51.71
68,20.053,16.736,0,124,11.31,19.361
69,42.016,6.524,0,89.667,-135.971,41.695
70,24.828,20.924,0,125,-48.18,24.454
71,50.61,12.002,0.077,120.667,-95.599,50.467
72,25.782,28.165,2,135.333,-6.582,25.615
73,47.745,12.329,0,185,30.174,47.715
74,26.737,4.295,0,38.444,-61.557,26.519
75,57.294,5.136,0,97.333,32.619,58.11
76,20.053,7.35,0,50,-57.095,19.163
77,38.196,3.929,0,40.667,-66.038,38.366
78,29.602,8.992,0,161.333,23.962,29.303
79,47.745,6.534,0,72.889,-102.907,48.121
80,21.963,7.087,0,38,-13.392,21.488
